Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
